,campfilename,month,year,camppopulation,campcapacity,overcapacity,adultmales,adutfemales,children,monthyear,cmy
269,Lagkadikia_GRE_029,6,2018,391,,1,0.44,0.2,0.36,62018,Lagkadikia_GRE_029062018
270,Lavrio-New_GRE_030,6,2018,243,,1,0.45,0.24,0.31,62018,Lavrio-New_GRE_030062018
271,Leros-Lepida_GRE_032,6,2018,674,800,0,0.49,0.21,0.3,62018,Leros-Lepida_GRE_032062018
273,Moria_GRE_001,6,2018,6000,,1,0.52,0.21,0.27,62018,Moria_GRE_001062018
274,Nea-Kavala_GRE_034,6,2018,361,,1,0.63,0.16,0.21,62018,Nea-Kavala_GRE_034062018
276,Ritsona_GRE_040,6,2018,852,,1,0.41,0.2,0.39,62018,Ritsona_GRE_040062018
277,Serres_GRE_042,6,2018,583,,1,0.28,0.27,0.45,62018,Serres_GRE_042062018
278,Skaramangas_GRE_014,6,2018,2503,,1,0.3,0.24,0.46,62018,Skaramangas_GRE_014062018
279,Vathi-Samos_GRE_053,6,2018,2137,,1,0.49,0.22,0.29,62018,Vathi-Samos_GRE_053062018
280,Veria_GRE_054,6,2018,236,244,0,0.38,0.27,0.35,62018,Veria_GRE_054062018
282,Volos_GRE_055,6,2018,149,,1,0.3,0.21,0.49,62018,Volos_GRE_055062018
283,Alexandria-Ref_GRE_003,9,2018,712,,1,0.43,0.25,0.32,92018,Alexandria-Ref_GRE_003092018
284,Andravida_GRE_004,9,2018,235,,1,0.28,0.23,0.49,92018,Andravida_GRE_004092018
285,Diavata_GRE_008,9,2018,816,,1,0.32,0.2,0.48,92018,Diavata_GRE_008092018
287,Drama_GRE_011,9,2018,328,332,0,0.28,0.2,0.52,92018,Drama_GRE_011092018
288,Eleonas_GRE_013,9,2018,1470,,1,0.43,0.23,0.34,92018,Eleonas_GRE_013092018
290,Kato-Milia_GRE_061,9,2018,302,334,0,0.45,0.2,0.35,92018,Kato-Milia_GRE_061092018
291,Kavala_GRE_024,9,2018,390,,1,0.31,0.21,0.48,92018,Kavala_GRE_024092018
292,Kos_GRE_027,9,2018,1400,,1,0.46,0.2,0.34,92018,Kos_GRE_027092018
293,Koutsochero_GRE_028,9,2018,1423,,1,0.53,0.34,0.13,92018,Koutsochero_GRE_028092018
294,Lagkadikia_GRE_029,9,2018,368,,1,0.43,0.21,0.36,92018,Lagkadikia_GRE_029092018
295,Lavrio-New_GRE_030,9,2018,248,252,0,0.44,0.23,0.33,92018,Lavrio-New_GRE_030092018
296,Leros-Lepida_GRE_032,9,2018,595,800,0,0.56,0.21,0.23,92018,Leros-Lepida_GRE_032092018
298,Moria_GRE_001,9,2018,7500,,1,0.53,0.22,0.25,92018,Moria_GRE_001092018
299,Nea-Kavala_GRE_034,9,2018,765,807,0,0.42,0.21,0.37,92018,Nea-Kavala_GRE_034092018
301,Ritsona_GRE_040,9,2018,853,1706,0,0.42,0.2,0.38,92018,Ritsona_GRE_040092018
302,Serres_GRE_042,9,2018,649,,1,0.28,0.27,0.45,92018,Serres_GRE_042092018
303,Skaramangas_GRE_014,9,2018,1918,,1,0.41,0.22,0.37,92018,Skaramangas_GRE_014092018
304,Vathi-Samos_GRE_053,9,2018,2676,,1,0.49,0.21,0.3,92018,Vathi-Samos_GRE_053092018
305,Veria_GRE_054,9,2018,311,315,0,0.35,0.26,0.39,92018,Veria_GRE_054092018
307,Volos_GRE_055,9,2018,143,147,0,0.28,0.2,0.52,92018,Volos_GRE_055092018
