,campfilename,monthyear,appcat,totalusagekb,usageperc,cmy
164,Alexandria-Ref_GRE_003,42016,Web file sharing,3,0,Alexandria-Ref_GRE_003042016
165,Alexandria-Ref_GRE_003,42018,Other,1508239305,50,Alexandria-Ref_GRE_003042018
166,Alexandria-Ref_GRE_003,42018,Video,1121208427,37,Alexandria-Ref_GRE_003042018
167,Alexandria-Ref_GRE_003,42018,Social web,273079069,9,Alexandria-Ref_GRE_003042018
168,Alexandria-Ref_GRE_003,42018,Music,29342029,0,Alexandria-Ref_GRE_003042018
169,Alexandria-Ref_GRE_003,42018,Software & anti-virus updates,16903669,0,Alexandria-Ref_GRE_003042018
170,Alexandria-Ref_GRE_003,42018,Online backup,12226621,0,Alexandria-Ref_GRE_003042018
171,Alexandria-Ref_GRE_003,42018,Advertising,9169084,0,Alexandria-Ref_GRE_003042018
172,Alexandria-Ref_GRE_003,42018,Email,1191325,0,Alexandria-Ref_GRE_003042018
173,Alexandria-Ref_GRE_003,42018,Productivity,1123917,0,Alexandria-Ref_GRE_003042018
174,Alexandria-Ref_GRE_003,42018,File sharing,674969,0,Alexandria-Ref_GRE_003042018
175,Alexandria-Ref_GRE_003,42018,VoIP & video conferencing,504813,0,Alexandria-Ref_GRE_003042018
176,Alexandria-Ref_GRE_003,42018,Gaming,259342,0,Alexandria-Ref_GRE_003042018
177,Alexandria-Ref_GRE_003,42018,Web file sharing,253959,0,Alexandria-Ref_GRE_003042018
178,Alexandria-Ref_GRE_003,42018,Blogging,209516,0,Alexandria-Ref_GRE_003042018
179,Alexandria-Ref_GRE_003,42018,P2P,117025,0,Alexandria-Ref_GRE_003042018
180,Alexandria-Ref_GRE_003,42018,News,96791,0,Alexandria-Ref_GRE_003042018
181,Alexandria-Ref_GRE_003,42018,Security,58423,0,Alexandria-Ref_GRE_003042018
182,Alexandria-Ref_GRE_003,42018,Photo sharing,26352,0,Alexandria-Ref_GRE_003042018
183,Alexandria-Ref_GRE_003,42018,Remote monitoring & management,6983,0,Alexandria-Ref_GRE_003042018
184,Alexandria-Ref_GRE_003,42018,Business management,1744,0,Alexandria-Ref_GRE_003042018
185,Alexandria-Ref_GRE_003,42018,Cloud services,782,0,Alexandria-Ref_GRE_003042018
186,Alexandria-Ref_GRE_003,42018,Sports,160,0,Alexandria-Ref_GRE_003042018
187,Alexandria-Ref_GRE_003,42018,Web payments,81,0,Alexandria-Ref_GRE_003042018
188,Alexandria-Ref_GRE_003,52018,Other,1299729954,44,Alexandria-Ref_GRE_003052018
189,Alexandria-Ref_GRE_003,52018,Video,1147577993,38,Alexandria-Ref_GRE_003052018
190,Alexandria-Ref_GRE_003,52018,Social web,446103861,15,Alexandria-Ref_GRE_003052018
191,Alexandria-Ref_GRE_003,52018,Music,31186911,1,Alexandria-Ref_GRE_003052018
192,Alexandria-Ref_GRE_003,52018,Advertising,12607073,0,Alexandria-Ref_GRE_003052018
193,Alexandria-Ref_GRE_003,52018,Software & anti-virus updates,6836428,0,Alexandria-Ref_GRE_003052018
194,Alexandria-Ref_GRE_003,52018,Online backup,3200759,0,Alexandria-Ref_GRE_003052018
195,Alexandria-Ref_GRE_003,52018,Email,1627534,0,Alexandria-Ref_GRE_003052018
196,Alexandria-Ref_GRE_003,52018,Productivity,1329027,0,Alexandria-Ref_GRE_003052018
197,Alexandria-Ref_GRE_003,52018,Web file sharing,1010984,0,Alexandria-Ref_GRE_003052018
198,Alexandria-Ref_GRE_003,52018,VoIP & video conferencing,748624,0,Alexandria-Ref_GRE_003052018
199,Alexandria-Ref_GRE_003,52018,File sharing,389244,0,Alexandria-Ref_GRE_003052018
200,Alexandria-Ref_GRE_003,52018,Blogging,362296,0,Alexandria-Ref_GRE_003052018
201,Alexandria-Ref_GRE_003,52018,Gaming,154868,0,Alexandria-Ref_GRE_003052018
202,Alexandria-Ref_GRE_003,52018,P2P,147724,0,Alexandria-Ref_GRE_003052018
